matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_7384283919,True,51088,21,18,61,613,158,92165,588407,5,2,6,1,0,8
EUW1_7385981619,False,29602,12,17,8,501,64,43867,363490,0,0,3,4,1,7
EUW1_7386029888,True,67755,41,35,71,707,128,110035,659547,2,2,6,1,0,10
EUW1_7386082920,True,71386,48,30,82,807,155,170238,867690,2,0,11,2,1,4
EUW1_7387180312,False,75391,44,32,88,929,191,125711,927210,2,1,7,3,0,11
EUW1_7387248930,False,40619,15,28,18,631,72,49097,412038,0,0,2,3,0,6
EUW1_7387295023,False,39236,3,18,3,744,99,48913,493919,0,0,0,3,0,5
EUW1_7391526341,True,74687,44,32,93,808,171,134803,836720,4,2,7,1,0,5
EUW1_7391596050,True,48517,29,13,47,649,109,65667,541931,3,0,6,1,0,3
EUW1_7391641199,True,84278,54,34,85,994,188,148537,1096563,3,2,10,3,0,3
EUW1_7391705045,False,24359,4,16,4,454,54,30423,258357,0,0,0,2,0,3
EUW1_7391731119,False,40060,12,25,18,585,101,46244,411376,1,0,3,1,0,4
EUW1_7393589155,False,75431,38,46,82,944,247,142783,950305,2,1,5,4,1,7
EUW1_7393658028,False,19237,0,15,0,372,40,16272,185096,0,0,0,1,0,2
EUW1_7393679387,False,48192,16,28,22,728,122,74856,527815,1,0,2,2,1,7
EUW1_7394588509,True,39182,19,3,19,702,92,65834,610798,4,0,9,0,0,3
EUW1_7394638278,True,48860,20,27,9,816,100,89872,825415,5,1,9,1,1,7
EUW1_7394697554,False,69228,37,44,56,855,161,148346,857242,3,1,4,2,0,8
EUW1_7397627929,False,60631,37,35,48,786,163,118978,701063,1,0,2,3,1,10
EUW1_7397684873,False,38737,18,21,28,459,107,50846,414837,2,0,2,2,1,8
EUW1_7397764197,False,21725,4,22,3,399,43,29239,201474,1,0,0,1,0,2
EUW1_7397792205,True,41478,25,9,36,637,98,66471,479956,3,0,1,0,0,3
EUW1_7398673076,True,42934,15,11,39,656,107,75148,695634,6,1,6,0,1,8
EUW1_7398734792,True,35432,15,12,50,541,81,51706,514365,4,0,4,1,1,4
EUW1_7399581115,False,74083,40,30,80,964,193,159443,850196,2,2,4,4,0,7
EUW1_7399654863,False,63311,33,37,44,818,150,131537,762565,2,1,1,4,0,10
EUW1_7400655251,True,63534,26,17,49,909,166,109549,806048,3,2,6,2,0,8
EUW1_7400715984,False,56333,22,22,35,875,159,87728,778911,3,0,3,2,1,11
EUW1_7406175934,False,74374,39,46,51,894,187,164590,924739,2,2,6,4,0,8
EUW1_7406233806,True,59152,33,22,75,681,141,107817,660503,2,1,11,2,0,1
EUW1_7409099728,True,31645,22,13,19,398,60,76195,473084,2,1,9,1,0,5
EUW1_7409161265,False,10397,2,7,4,182,14,6775,132234,1,0,1,1,0,2
EUW1_7409197937,True,25584,15,10,25,246,78,39351,342443,4,1,12,0,0,1
EUW1_7413278054,False,35029,16,24,24,560,111,56906,376575,1,0,0,2,0,2
EUW1_7413322975,False,44398,13,31,22,706,122,79218,573478,0,0,0,3,0,7
EUW1_7413376539,True,76499,40,25,73,892,178,139094,957111,3,2,14,2,0,4
EUW1_7415158305,False,21889,6,15,10,391,46,27280,280794,0,0,1,2,0,5
EUW1_7415363617,False,30635,13,19,24,329,89,55394,331449,2,0,4,1,1,7
EUW1_7418370460,False,37432,18,17,35,475,134,57543,456680,0,0,3,4,1,10
EUW1_7418407962,True,56696,18,20,66,754,183,84441,687480,4,2,7,1,0,8
EUW1_7418465028,True,42750,17,13,42,613,121,77192,571438,4,1,6,0,0,6
EUW1_7419505298,False,41189,12,37,38,522,113,74861,489775,1,0,2,4,0,11
EUW1_7419559795,True,102305,72,54,104,1150,206,234348,1538801,4,2,9,3,1,11
EUW1_7421443563,True,29258,12,16,28,364,87,40323,353631,4,1,7,0,0,3
EUW1_7421494579,True,37816,18,23,45,404,117,77337,417767,1,1,9,2,0,7
EUW1_7423309434,False,34177,18,24,22,363,104,38498,343424,0,1,4,4,0,10
EUW1_7423361938,False,29233,9,31,15,369,69,39257,277923,1,0,1,2,0,6
EUW1_7423399045,False,18194,3,14,15,239,58,21334,201883,0,0,1,3,0,4
EUW1_7426320949,False,36308,21,29,17,495,64,64507,467733,1,0,3,3,1,11
EUW1_7426376827,False,47282,14,34,26,703,113,77818,562006,1,0,3,3,0,11
EUW1_7426421260,True,63452,53,18,59,713,135,114808,655951,3,1,8,0,0,3
EUW1_7427409267,False,41686,20,33,34,558,58,87741,547174,3,0,2,2,2,10
EUW1_7427473240,False,65149,29,25,52,888,169,123150,845452,1,1,6,3,0,9
EUW1_7427533639,False,59129,30,32,62,749,164,108684,697113,3,0,3,2,1,7
EUW1_7428440834,False,38193,17,24,30,644,58,54716,581153,1,0,2,4,0,11
